epoch,train_loss,train_acc,train_f1,train_specificity,train_precision,train_recall,val_loss,val_acc,val_auc,val_f1,val_specificity,val_precision,val_recall
1,0.9721307013893411,0.5286923363095238,0.649732158285813,0.18278022743095845,0.5163842118273958,0.875926012207054,1.000863080115422,0.5886000679578661,0.6215316491882407,0.6294851197307015,0.4782534828406388,0.5725817675713292,0.6989466530750934
2,0.9489294281672864,0.5287388392857143,0.6669843251947029,0.1133222005751925,0.5149954328630874,0.9462470862470862,0.9763611498410287,0.5894495412844036,0.6291669076827141,0.6574526897724856,0.390927624872579,0.5640277271068953,0.7879714576962283
3,0.9453289768924671,0.5217401413690477,0.6672705802423203,0.08388439306358382,0.5100652883569097,0.9645512790534537,0.9536168139589869,0.5857968059802923,0.6335920489065722,0.6725758796669352,0.32076112810057766,0.5560737286253609,0.8508324838600068
4,0.9393455050220447,0.5289248511904762,0.6713813014987349,0.09524693650204233,0.5149795958992734,0.9642191576593365,0.9509585127234459,0.5919130139313625,0.6357307704697094,0.6670363182700305,0.3662928984029901,0.5633341137906813,0.817533129459735
5,0.9374526587891436,0.5313895089285714,0.6722393885184583,0.10159408839522238,0.5167129178229456,0.9617048997254665,0.9404678833873376,0.5895344886170574,0.6377278698487943,0.673866090712743,0.3309548080190282,0.5590145576707727,0.8481141692150866
6,0.9365069344196291,0.5332496279761905,0.6718111369061244,0.11067853170189099,0.5170886394523582,0.9586599477416946,0.9383773414984994,0.5902140672782875,0.642409036502703,0.674054054054054,0.3329935440027183,0.5595692169620822,0.8474345905538566
7,0.9339470458882195,0.5371326264880952,0.6736931827495206,0.11840883772744151,0.5196874288748957,0.9574170704435334,0.9349661890579306,0.5946313285762828,0.6447199762990303,0.6733296823658269,0.35372069317023447,0.5638614996560422,0.8355419639823309
8,0.9325131602097481,0.5420386904761905,0.6761378584583004,0.12791075993492912,0.5228492231009841,0.9565905178430186,0.9301475699505081,0.5963302752293578,0.6452809231093575,0.6762060506950123,0.34964322120285424,0.5645051194539249,0.8430173292558614
9,0.9315371023757117,0.54443359375,0.675886254983375,0.13842659125677995,0.5236325421643513,0.9529784951252507,0.9289530298632124,0.5953958545701665,0.6467543970852241,0.6753459205234817,0.3491335372069317,0.563915765509391,0.8416581719334013
10,0.9303334845850865,0.5466657366071429,0.6783363304901588,0.13792620270901448,0.5269255414584134,0.9518473932771553,0.9207290989225325,0.5942915392456677,0.6472922525377113,0.680064308681672,0.32619775739041795,0.5613802256138023,0.8623853211009175
11,0.9279105719400659,0.5482700892857143,0.6782058502004175,0.1443907426340738,0.5265147618557762,0.9526756630991159,0.9196203602072985,0.5947162759089365,0.6503274816368863,0.681912127475165,0.32059123343527013,0.5611763414901789,0.8688413183826028
12,0.9306428064813926,0.5439220610119048,0.6764429341998912,0.13434085096489187,0.5241308793456033,0.9535413663209785,0.9162665474350038,0.5958205912334352,0.651487302812793,0.6812273884496851,0.327896704043493,0.5623893805309734,0.8637444784233775
13,0.9231178155834121,0.5535946800595238,0.6818460518684233,0.15120082235305113,0.5310668835024136,0.952189206701842,0.9271427205075389,0.6008324838600068,0.6531372524909513,0.672566371681416,0.3817533129459735,0.5701122268163025,0.81991165477404
14,0.9255485372130006,0.5528971354166666,0.6802361353621019,0.15528269293617816,0.5306127743475328,0.947380610496086,0.9140718234298022,0.5980292218824329,0.6551823241659489,0.6824161073825503,0.33231396534148827,0.564011537608165,0.8637444784233775
15,0.9260571280139542,0.5491536458333334,0.6765206366153949,0.15475804584394537,0.5262529523216278,0.9469014150282539,0.9154538115405518,0.5983690112130479,0.6568779514363343,0.6846318036286019,0.32483860006795784,0.5635844498133099,0.871899422358138
16,0.9231974361464381,0.5523623511904762,0.6776721135815699,0.16264447526583448,0.5277183833116037,0.9466741509963514,0.9267695337210012,0.6021066938498131,0.65914133746761,0.6706974128233971,0.39381583418280663,0.5720796354041736,0.8103975535168195
17,0.9212372919234136,0.5569428943452381,0.6821252815080491,0.163474532830048,0.5324773413897281,0.9487679242656272,0.9190775458903416,0.6025314305130819,0.6650121420132362,0.6799370681989192,0.36068637444784235,0.5691056910569106,0.8443764865783214
