epoch,train_loss,train_acc,train_f1,train_specificity,train_precision,train_recall,val_loss,val_acc,val_auc,val_f1,val_specificity,val_precision,val_recall
1,0.6692784857004881,0.5846121651785714,0.6023549313330514,0.5391401244312378,0.5768427335123844,0.6302282254308337,0.6436122945793297,0.6484879374787632,0.7129692409258758,0.5737536052740009,0.8238192320761129,0.7286760858189429,0.4731566428814135
2,0.6290930219194186,0.6333240327380952,0.6218588145022061,0.6614293659621802,0.6396507498026835,0.6050298618887645,0.6230634838018728,0.6472137274889569,0.7428115448476311,0.48480337427118225,0.9624532789670405,0.8983908045977012,0.33197417601087326
3,0.6095839929656082,0.65234375,0.6262186890655466,0.7229437229437229,0.6778697840558532,0.5818815331010453,0.649877198971808,0.6282704723071696,0.7322991753267917,0.44914400805639476,0.9534488617057424,0.8668610301263362,0.3030920829085967
4,0.5979279205646544,0.6635277157738095,0.6359771589565568,0.7410377138594937,0.6947131237634645,0.5863988495616274,0.6324787349642619,0.6520557254502208,0.7671296310728394,0.4809934110491637,0.981651376146789,0.9461615154536391,0.32246007475365274
5,0.5899139212311378,0.66943359375,0.6405945850291984,0.749151912263581,0.7012397609032543,0.5896039834333845,0.6716152506111108,0.6432212028542303,0.7622045042233516,0.4587628865979381,0.9840299014610941,0.9498399146211313,0.30241250424736665
6,0.5853456024723571,0.6728748139880952,0.6460183670902,0.7550647158131683,0.7108133547422624,0.5920494373731784,0.6691905864635888,0.6495073054706082,0.7816855282650343,0.4727830309225658,0.9847094801223242,0.9536082474226805,0.3143051308188923
7,0.5826657991967208,0.6761067708333334,0.6465543489292601,0.7612413214668469,0.7131821998320739,0.5913120155938182,0.664285440929234,0.6532449881073734,0.7799138726989606,0.4794695230808467,0.9870880054366293,0.9611451942740287,0.31940197077811755
8,0.5739705086619195,0.6851283482142857,0.6559101534708813,0.771873397660001,0.7250716251895961,0.5987937833449316,0.698662339831176,0.6418620455317703,0.7824676036908764,0.4564208354822073,0.983010533469249,0.946524064171123,0.3007135575942915
9,0.5736570645101546,0.6845703125,0.6543870376031796,0.7715441108115646,0.7232233359612569,0.5975155857448591,0.7045541417015635,0.6571525654094461,0.7825559281346144,0.49143145161290325,0.983010533469249,0.9512195121951219,0.3312945973496432
10,0.5703549270207683,0.6881975446428571,0.6539712029725963,0.7848101265822784,0.7319355397678046,0.5910172100181894,0.6988281643058619,0.6616547740400951,0.7962644302224772,0.4952477506019516,0.991335372069317,0.9745635910224439,0.33197417601087326
11,0.5643487541071538,0.6938941592261905,0.6634283522945161,0.7836469221835075,0.7358779491833031,0.6039659265465717,0.7526743881525877,0.6495073054706082,0.799115520174977,0.4665115076286527,0.9925246347264696,0.9761904761904762,0.3064899762147469
12,0.5620988099724942,0.6965680803571429,0.6691344252319862,0.7783608079869979,0.7343758695531193,0.6145391887486611,0.7547401871896632,0.6583418280665987,0.8038718780628522,0.4863346104725415,0.9932042133876996,0.9794238683127572,0.3234794427454978
13,0.5570138984337627,0.6988932291666666,0.6719193352249696,0.7820196470971646,0.739062587081313,0.6159598680849088,0.7615006398207144,0.659616038056405,0.7967210906879596,0.4896191567953127,0.992694529391777,0.978117048346056,0.32653754672103297
14,0.5568973910994828,0.6998232886904762,0.6666838789631312,0.7927583025830258,0.7418409561020455,0.605354463615904,0.7513730635907016,0.6616547740400951,0.8033232706968706,0.4944789947962939,0.9923547400611621,0.9774209734069242,0.3309548080190282
15,0.5515492650391978,0.7014508928571429,0.6698889345948169,0.7897525687692946,0.7406059917003013,0.6114996479699601,0.8019937455816113,0.6633537206931702,0.8043450488491903,0.4980367321089297,0.992694529391777,0.9785963165754107,0.33401291199456334
16,0.5499436785023482,0.7043340773809523,0.6732449378147806,0.7928060871570209,0.7446143352469732,0.6143600806640717,0.754892890493426,0.6712538226299695,0.8047410079077509,0.5170950836036935,0.9904858987427795,0.9736842105263158,0.35202174651715934
17,0.5484962150387999,0.7073567708333334,0.6774474628395694,0.8002325581395349,0.7547396071265418,0.6145155291054492,0.7891685553198762,0.6691301393136255,0.8058224339237909,0.5111083218275386,0.9923547400611621,0.9783757808745795,0.345905538566089
