epoch,train_loss,train_acc,train_f1,train_specificity,train_precision,train_recall,val_loss,val_acc,val_auc,val_f1,val_specificity,val_precision,val_recall
1,0.6666894119587683,0.5871465773809523,0.6126358043544657,0.5196773744958977,0.5753800762201369,0.6550501516211803,0.6522698732011992,0.6283554196398233,0.7160645219875331,0.48218724109362054,0.9106354060482501,0.794771751853297,0.34607543323139656
2,0.6258064627181739,0.6382998511904762,0.6266141807882483,0.6721280866358587,0.6501469343029337,0.6047255038220987,0.6326428129256744,0.6473836221542644,0.7476797370679448,0.4820960698689956,0.9665307509344206,0.9074682949741663,0.32823649337410804
3,0.6079090412351347,0.6562732514880952,0.6355006534013857,0.7136276927371702,0.6767671463081609,0.5989774575877295,0.6343409551064605,0.641946992864424,0.7551858282795011,0.45787781350482315,0.9814814814814815,0.942297511911064,0.30241250424736665
4,0.5988362711255572,0.6624581473214286,0.6425176684971312,0.7249471954940155,0.6900454882048027,0.601115053218449,0.6495042010817839,0.6506965681277608,0.754127782263274,0.4839357429718876,0.9738362215426436,0.9260326609029779,0.327556914712878
5,0.5915908349145736,0.6706194196428571,0.6463980829713943,0.7386030949393559,0.6971410111452108,0.6025408348457351,0.6582137918626161,0.6275059463132857,0.7640499078135267,0.41634500199653934,0.9892966360856269,0.9612784265519361,0.26571525654094463
6,0.591139151581696,0.6692708333333334,0.6398987341772152,0.7531486146095718,0.7048522030117123,0.5859063514140009,0.65610434141253,0.6401630988786952,0.7437335250377861,0.4681064791562029,0.963642541624193,0.8970163618864293,0.31668365613319743
7,0.5869938746272099,0.6715494791666666,0.6366769547325103,0.7656800890703285,0.710179022263025,0.5769625209770651,0.6301210249531204,0.650271831464492,0.7558599804716386,0.4760086547028128,0.9828406388039416,0.9487569761542364,0.3177030241250425
8,0.5823515946533353,0.6788969494047619,0.6515090340163521,0.7592169657422512,0.7141908713692946,0.5989421426251565,0.6583785696117126,0.6441556235134217,0.7797279584041517,0.4568909633086996,0.9889568467550119,0.9644225506294472,0.29935440027183147
9,0.5797113975886965,0.681640625,0.6509635974304068,0.7656148792449339,0.7159358528653135,0.5968028419182948,0.6571035055524629,0.6506965681277608,0.77741781237325,0.47497446373850866,0.9853890587835542,0.9558067831449126,0.3160040774719674
10,0.5703501125487188,0.6871512276785714,0.6548141306857538,0.7767138495698029,0.7255671158110183,0.5966339410939692,0.8148258867187669,0.6475535168195719,0.7803528394114982,0.4629126213592233,0.991335372069317,0.9722675367047309,0.3037716615698267
11,0.567957139684863,0.6899181547619048,0.6656973829339216,0.7681206953099377,0.7284797278762276,0.6128779136856681,0.8124583464763735,0.6449201495073055,0.7721459399215979,0.46134020618556704,0.9857288481141692,0.9551760939167556,0.3041114509004417
12,0.5667885495904124,0.6919642857142857,0.6619890799612186,0.7791960638692907,0.731697687535251,0.6044073797987327,0.769168545431255,0.6455997281685355,0.7899069464461764,0.4581818181818182,0.9915052667346246,0.9724366041896362,0.2996941896024465
13,0.5603951269128759,0.6972888764880952,0.6675688787886526,0.7822528437991306,0.7351667510263765,0.6113553456178094,0.7968162527591314,0.6441556235134217,0.786418765930872,0.4529188977406295,0.9937138973836221,0.9791078486730661,0.2945973496432212
14,0.558050828996957,0.6982189360119048,0.6730153931423676,0.7824291345973343,0.7423442449841605,0.6155299539170507,0.7843262484074449,0.6619945633707102,0.7997204127256935,0.49524292781935814,0.9923547400611621,0.9774661992989484,0.33163438668025824
15,0.5522798985641982,0.7019856770833334,0.6749182032617241,0.7855780414049779,0.7427151948196941,0.6184632547761818,0.806490384315586,0.6693849813115869,0.794517453545095,0.5159203980099503,0.9864084267753993,0.9628597957288765,0.35236153584777435
16,0.5474735757701897,0.7087518601190477,0.6812398208469055,0.7945441026117669,0.7517129057621027,0.6228478362028851,0.8084211739934171,0.6657322460074754,0.8034098199924746,0.5043456354704623,0.991335372069317,0.9751583049196298,0.3401291199456337
17,0.5431727019715167,0.7087518601190477,0.6832869785082174,0.792028376738542,0.7520035618878005,0.6260772866277453,0.874641941981795,0.6688752973156643,0.8025085498638821,0.5114063675106543,0.9911654774040095,0.9751434034416826,0.34658511722731905
18,0.5431801517981858,0.7083565848214286,0.6875420372169494,0.7806351883080382,0.7466320402532056,0.6371191135734072,0.8254960543759491,0.6700645599728169,0.80584061836809,0.5147426286856571,0.9901461094121644,0.9726156751652503,0.34998301053346925
19,0.5337987792500782,0.7185407366071429,0.6952186721051439,0.7983656315666589,0.7617523725446921,0.6393738711619507,0.862043629673755,0.6648827726809379,0.8046348020937858,0.5012011632317613,0.9930343187223921,0.9797330696984676,0.3367312266394835
20,0.5354092138198515,0.7160063244047619,0.6917057902973396,0.7936109950318058,0.7550559321099907,0.6381631037212985,0.8241760654719141,0.6777098199116548,0.810733576069687,0.531951640759931,0.9891267414203194,0.9711711711711711,0.3662928984029901
21,0.5375461437950089,0.7147507440476191,0.6901707243155875,0.7936050564669797,0.7547086440209887,0.6358010329905542,0.8429758055338069,0.6795786612300374,0.8139349474885205,0.5363815142576205,0.9884471627590894,0.9697777777777777,0.37071015970098536
22,0.5345829762074918,0.7158900669642857,0.6936595883370521,0.7901481964768384,0.7544309319954191,0.6419489559164733,0.8436941989576039,0.6834012911994564,0.8118826886283952,0.5445435659293658,0.9882772680937818,0.9699608184588594,0.3785253143051308
