epoch,train_loss,train_acc,train_auc,train_f1,train_specificity,train_recall,train_precision,train_npv,val_loss,val_acc,val_auc,val_f1,val_specificity,val_recall,val_precision,val_npv
1,0.761085894703865,0.5545942164179104,0.575857942654513,0.6242351506089284,0.3702993451824135,0.7378604651162791,0.540934974596788,0.5841511104552498,0.7240909095043722,0.588260278627251,0.6326700109880226,0.662112234227954,0.3696907917091403,0.8068297655453619,0.5614138787090672,0.6568065197706007
2,0.7241568504429575,0.5976212686567164,0.6518008322147154,0.6474602590821789,0.45461727936050567,0.7416561344380471,0.5744950868414374,0.6393046206130318,0.6568402313505826,0.6750764525993884,0.7360391959635382,0.6378183884101885,0.7779476724430853,0.5722052327556915,0.720427807486631,0.6452021981118783
3,0.6865387721737819,0.6460121268656717,0.7159167831342133,0.6600980809279621,0.6039511695088995,0.6881594920160613,0.634235552304316,0.6599460312611374,0.6236222977547542,0.6940197077811757,0.7656861469979677,0.6579297245963912,0.799524294937139,0.5885151206252124,0.7459086993970715,0.6602132435465768
4,0.670014232174674,0.6648787313432836,0.7381611088827845,0.6729780164762641,0.6449854309615566,0.6844736598463105,0.6618621307072515,0.668159688412853,0.6014791052059635,0.6958036017669045,0.7790443098911022,0.6943235168587282,0.7006455997281685,0.6909616038056405,0.6977183050265912,0.6939256267878176
5,0.6625213451794724,0.6721781716417911,0.7478586584506663,0.6749901736376038,0.664393797870353,0.6799422396124465,0.6701097185878896,0.6743138834905437,0.606308932132695,0.7045531770302412,0.7762470083702708,0.6724430212846111,0.8025823989126741,0.6065239551478083,0.7544378698224852,0.6710227272727273
6,0.6571065529513714,0.6822294776119403,0.7548936658894777,0.6793882352941176,0.6917044022221185,0.6727713313761126,0.6861365904662325,0.6784651311873254,0.605091769086278,0.7133876996262317,0.7840246395179263,0.6717260167347733,0.8402990146109413,0.5864763846415223,0.7859744990892532,0.670189701897019
7,0.6518872752785683,0.6857742537313433,0.7609689982827313,0.6796328879166865,0.7028459821428571,0.6686002994011976,0.6910356832027851,0.6808721506442021,0.598709083283725,0.7166156982670744,0.7957531586957031,0.6864661654135338,0.8127760788311247,0.6204553177030241,0.7681952040387042,0.6816756910800797
8,0.6498576774525998,0.6884794776119403,0.7638994180992723,0.6852052599330726,0.6988154090103535,0.6781416176882172,0.6924176033530196,0.6847011515262292,0.5893906118429225,0.7188243289160721,0.7911284215475158,0.6942545723258822,0.799184505606524,0.6384641522256201,0.7607287449392712,0.6885245901639344
9,0.6445583711364375,0.6958955223880597,0.7718557435751006,0.6935226097583905,0.7055797203124269,0.6862644774175543,0.7009359114447242,0.6910356832027851,0.581828393527995,0.7244308528712199,0.8012842316391089,0.6943083301922353,0.8229697587495752,0.6258919469928644,0.7795175624206517,0.687482259437979
10,0.642816848474652,0.6947527985074626,0.7725978023663603,0.6929122774089107,0.7063137605190165,0.6833726687954094,0.7027219948605692,0.6870941187231318,0.5873159121560014,0.722646958885491,0.7975695249033944,0.685240528294611,0.8414882772680938,0.6038056405028882,0.7920659683530198,0.6798901853122855
11,0.6408023222836096,0.6976445895522388,0.7752504271010838,0.6923277723723866,0.7125987912598791,0.6825924192793636,0.7023448408686023,0.693229614219167,0.5775135498817848,0.72714916751614,0.8030300826127964,0.6975517890772128,0.8250084947332654,0.6292898402990146,0.7824250105618927,0.6899687411196362
